date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,193.0,193.0,193.0,193.0,-1.03,420000,81060000.0
2026-01-29,195.0,195.0,195.0,195.0,-1.52,100000,19500000.0
2026-01-04,198.0,198.0,198.0,198.0,0.0,50000,9900000.0
2026-01-01,198.0,198.0,198.0,198.0,-1.98,350000,69300000.0
2025-10-26,202.0,202.0,202.0,202.0,-1.94,149474,30193748.0
2025-10-15,206.0,206.0,206.0,206.0,0.0,36460,7510760.0
2025-07-24,232.0,232.0,232.0,232.0,0.0,74736,17338752.0
2024-09-16,155.0,155.0,155.0,155.0,0.0,75000,11625000.0
2024-07-30,155.0,155.0,155.0,155.0,0.0,7000,1085000.0
2024-07-29,155.0,155.0,155.0,155.0,-0.06,78000,12090000.0
2024-06-30,155.1,155.1,155.1,155.1,-1.96,97000,15044700.0
2024-06-18,158.2,158.2,158.2,158.2,0.0,46508,7357565.6
2023-12-03,158.2,158.2,158.2,158.2,-1.98,46867,7414359.4
2023-11-30,161.4,161.4,161.4,161.4,0.0,150000,24210000.0
2023-10-18,161.4,161.4,161.4,161.4,-1.94,40000,6456000.0
2023-08-07,167.9,167.9,164.6,164.6,-3.91,350000,58270000.0
2023-07-18,171.3,171.3,171.3,171.3,-1.95,81,13875.3
2023-07-16,174.7,174.7,174.7,174.7,0.0,2400,419280.0
2023-07-12,174.7,174.7,174.7,174.7,0.0,2461,429936.7
2023-06-15,181.8,181.8,174.7,174.7,-5.82,189277,33380858.6
2023-05-17,185.5,185.5,185.5,185.5,-1.96,2003,371556.5
2023-04-02,189.2,189.2,189.2,189.2,0.0,25000,4730000.0
2023-02-09,189.2,189.2,189.2,189.2,-1.97,7746,1465543.2
2022-08-16,211.0,211.0,211.0,211.0,0.0,940,198340.0
2022-04-13,229.0,229.0,229.0,229.0,0.0,4703,1076987.0
2021-12-27,315.0,315.0,315.0,315.0,0.0,14583,4593645.0
2021-06-10,220.0,220.0,220.0,220.0,0.0,55000,12100000.0
2021-03-02,110.0,110.0,110.0,110.0,0.92,3000,330000.0
2021-02-18,109.0,109.0,109.0,109.0,0.0,10007,1090763.0
2021-02-16,109.0,109.0,109.0,109.0,0.0,20000,2180000.0
2021-02-11,109.0,109.0,109.0,109.0,0.0,39210,4273890.0
2020-12-28,109.0,109.0,109.0,109.0,0.0,18000,1962000.0
2020-12-27,109.0,109.0,109.0,109.0,0.0,8858,965522.0
2020-12-21,109.0,109.0,109.0,109.0,0.0,1792,195328.0
2020-12-13,109.0,109.0,109.0,109.0,0.0,20000,2180000.0
2020-12-10,109.0,109.0,109.0,109.0,0.0,30101,3281009.0
2020-11-04,109.0,109.0,109.0,109.0,1.87,211686,23073774.0
2020-10-08,107.0,107.0,107.0,107.0,0.0,1195,127865.0
2020-09-13,107.0,107.0,107.0,107.0,-2.73,8708,931756.0
2020-07-21,110.0,110.0,110.0,110.0,-6.78,23953,2634830.0
2020-03-19,118.0,118.0,118.0,118.0,-5.6,33502,3953236.0
2020-03-05,125.0,125.0,125.0,125.0,0.0,95000,11875000.0
2019-09-16,116.0,116.0,116.0,116.0,0.0,40316,4676656.0
2019-07-29,116.0,116.0,116.0,116.0,0.0,7086,821976.0
2019-07-11,116.0,116.0,116.0,116.0,0.0,20952,2430432.0
2019-07-08,116.0,116.0,116.0,116.0,0.0,20000,2320000.0
2019-06-18,116.0,116.0,116.0,116.0,0.87,37330,4330280.0
2019-04-24,115.0,115.0,115.0,115.0,0.0,33798,3886770.0
2019-04-04,115.0,115.0,115.0,115.0,-4.96,65211,7499265.0
2018-12-10,121.0,121.0,121.0,121.0,0.0,20000,2420000.0
2018-12-04,121.0,121.0,121.0,121.0,0.0,6309,763389.0
2018-11-28,121.0,121.0,121.0,121.0,0.0,9838,1190398.0
2018-09-27,121.0,121.0,121.0,121.0,0.0,165607,20038448.0
2018-04-08,121.0,121.0,121.0,121.0,0.83,10386,1256706.0
2018-02-22,120.0,120.0,120.0,120.0,0.0,33988,4078560.0
2018-01-23,120.0,120.0,120.0,120.0,0.0,15000,1800000.0
2017-12-14,121.0,120.0,120.0,120.0,0.0,26057,3126840.0
2017-11-28,121.0,121.0,121.0,121.0,0.0,8959,1084039.0
2017-11-27,121.0,121.0,121.0,121.0,0.0,82126,9937246.0
2017-11-21,121.0,121.0,121.0,121.0,0.0,29864,3613544.0
2017-11-20,121.0,121.0,121.0,121.0,0.0,25000,3025000.0
2026-02-23,193.0,193.0,193.0,193.0,0.0,257155,49630915.0
