date,open,high,low,ltp,percent_change,qty,turnover
2024-09-03,1065.9,1065.9,1065.9,1065.9,2.0,25,26647.5
2024-09-02,1045.0,1045.0,1045.0,1045.0,-0.11,25,26125.0
2024-09-01,1046.2,1046.2,1046.2,1046.2,0.5,25,26155.0
2024-08-15,1040.0,1041.0,1040.0,1041.0,0.1,100,104050.0
2024-08-13,1030.3,1040.0,1030.3,1040.0,0.95,150,155030.0
2024-08-12,1039.8,1039.8,1030.2,1030.2,-2.9,300,309567.5
2024-07-30,1061.0,1061.0,1061.0,1061.0,1.92,25,26525.0
2024-07-21,1041.0,1041.0,1041.0,1041.0,-1.79,25,26025.0
2024-07-15,1060.0,1060.0,1060.0,1060.0,0.47,25,26500.0
2024-07-11,1055.0,1055.0,1055.0,1055.0,0.0,50,52750.0
2024-07-10,1055.0,1055.0,1055.0,1055.0,-0.94,40,42200.0
2024-07-04,1065.0,1065.0,1065.0,1065.0,1.91,10,10650.0
2024-05-29,1045.0,1045.0,1045.0,1045.0,-0.81,100,104500.0
2024-05-26,1053.5,1053.5,1053.5,1053.5,-2.0,25,26337.5
2024-05-14,1070.0,1075.0,1070.0,1075.0,1.9,50,53625.0
2024-05-06,1050.6,1055.0,1050.6,1055.0,2.43,50,52640.0
2024-05-05,1020.3,1030.0,1020.3,1030.0,0.95,50,51257.5
2024-04-28,1020.3,1020.3,1020.3,1020.3,2.0,25,25507.5
2024-04-10,1000.3,1000.3,1000.3,1000.3,-1.45,25,25007.5
2024-03-28,1015.0,1015.0,1015.0,1015.0,0.69,25,25375.0
2024-03-19,1008.0,1008.0,1008.0,1008.0,0.6,25,25200.0
2024-03-07,1000.0,1002.0,1000.0,1002.0,-1.66,75,75100.0
2024-03-05,1018.9,1018.9,1018.9,1018.9,1.99,1265,1288908.5
2024-02-25,999.0,999.0,999.0,999.0,-0.1,25,24975.0
2024-02-12,1000.0,1000.0,1000.0,1000.0,0.0,25,25000.0
2024-02-08,1000.0,1000.0,1000.0,1000.0,0.5,25,25000.0
2024-02-04,990.0,995.0,990.0,995.0,-0.49,50,49625.0
2024-01-31,999.9,999.9,999.9,999.9,0.49,25,24997.5
2024-01-28,990.0,995.0,990.0,995.0,0.51,60,59525.0
2024-01-25,990.0,990.0,990.0,990.0,-0.1,25,24750.0
2024-01-23,990.0,991.0,990.0,991.0,1.95,40,39625.0
2024-01-21,972.0,972.0,972.0,972.0,1.99,10,9720.0
2024-01-17,950.0,953.0,950.0,953.0,0.29,75,71325.0
2024-01-16,950.2,950.2,950.2,950.2,-1.74,25,23755.0
2023-12-24,967.0,967.0,967.0,967.0,0.21,25,24175.0
2023-12-20,966.0,966.0,965.0,965.0,0.2,100,96527.5
2023-12-17,963.1,963.1,963.1,963.1,0.22,25,24077.5
2023-12-05,980.0,980.0,961.0,961.0,-1.94,250,244412.5
2023-12-04,980.0,980.0,980.0,980.0,0.0,25,24500.0
2023-11-30,980.0,980.0,980.0,980.0,-2.0,150,147000.0
2023-07-31,1000.0,1000.0,1000.0,1000.0,-1.96,150,150000.0
2023-07-27,1000.0,1020.0,1000.0,1020.0,0.0,25025,25525000.0
2023-07-12,1020.0,1020.0,1020.0,1020.0,-1.92,25,25500.0
2023-07-10,1020.0,1040.0,1000.0,1040.0,0.0,230,231500.0
2026-03-15,1161.0,1161.0,1161.0,1161.0,0.0,100,116100.0
2026-03-22,1139.5,1160.0,1139.5,1160.0,-0.09,69,79526.6
2026-04-06,1198.5,1198.5,1198.5,1198.5,2.0,25,29962.5
2026-04-05,1175.0,1175.0,1175.0,1175.0,1.29,25,29375.0
